"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"233","November 8, 2013","St. Francis (NY)","Away","Miami (FL)","66","22","60",".367","7","24",".292","15","23",".652","12","27","39","11","15","6","4","27"
"234","November 8, 2013","Miami (FL)","Home","St. Francis (NY)","62","19","61",".311","0","15",".000","24","31",".774","14","25","39","5","13","7","3","20"
"235","November 8, 2013","Stetson","Away","Clemson","51","17","49",".347","6","21",".286","11","14",".786","9","21","30","9","14","5","1","15"
"236","November 8, 2013","Clemson","Home","Stetson","71","26","57",".456","10","23",".435","9","14",".643","11","25","36","12","11","9","4","19"
"237","November 8, 2013","Tampa","Away","UCF","72","24","62",".387","10","27",".370","14","23",".609","8","24","32","13","14","6","5","21"
"238","November 8, 2013","UCF","Home","Tampa","97","37","72",".514","8","23",".348","15","25",".600","11","29","40","17","10","6","6","19"
"239","November 8, 2013","UT-Martin","Away","Wyoming","60","20","57",".351","7","21",".333","13","21",".619","8","16","24","6","6","2","1","29"
"240","November 8, 2013","Wyoming","Home","UT-Martin","78","21","44",".477","8","19",".421","28","40",".700","7","29","36","15","10","2","4","22"
"241","November 8, 2013","Tennessee State","Away","Hawaii","55","21","57",".368","1","15",".067","12","17",".706","5","20","25","8","14","3","1","22"
"242","November 8, 2013","Hawaii","Home","Tennessee State","85","26","57",".456","5","19",".263","28","37",".757","12","35","47","14","9","9","6","17"
"243","November 8, 2013","Texas-Arlington","Away","Boise State","87","32","73",".438","12","33",".364","11","15",".733","10","11","21","16","12","3","3","18"
"244","November 8, 2013","Boise State","Home","Texas-Arlington","116","41","71",".577","13","26",".500","21","28",".750","14","29","43","18","10","6","3","18"
"245","November 8, 2013","TCU","Away","SMU","61","17","48",".354","8","18",".444","19","22",".864","9","24","33","11","17","11","1","19"
"246","November 8, 2013","SMU","Home","TCU","69","25","60",".417","6","17",".353","13","22",".591","14","21","35","15","13","6","3","21"
"247","November 8, 2013","Texas State","Away","Houston","70","26","58",".448","6","15",".400","12","19",".632","10","22","32","10","11","6","0","19"
"248","November 8, 2013","Houston","Home","Texas State","76","26","50",".520","6","14",".429","18","27",".667","5","26","31","17","13","6","4","21"
"249","November 8, 2013","Texas-Tyler","Away","Stephen F. Austin","64","17","47",".362","5","19",".263","25","33",".758","2","11","13","9","18","5","2","26"
"250","November 8, 2013","Stephen F. Austin","Home","Texas-Tyler","90","30","57",".526","4","18",".222","26","35",".743","13","25","38","15","16","11","1","24"
"251","November 8, 2013","Troy","Away","Ole Miss","54","17","49",".347","4","17",".235","16","25",".640","8","23","31","9","14","3","1","21"
"252","November 8, 2013","Ole Miss","Home","Troy","69","25","72",".347","6","28",".214","13","23",".565","21","26","47","11","12","8","5","23"
"253","November 8, 2013","Viterbo University","Away","North Dakota State","49","15","44",".341","3","9",".333","16","20",".800","0","21","21","5","17","0","1","23"
"254","November 8, 2013","North Dakota State","Home","Viterbo University","93","35","66",".530","10","19",".526","13","21",".619","14","26","40","16","5","9","6","17"
"255","November 8, 2013","Washington College","Away","Howard","52","16","43",".372","5","12",".417","15","21",".714","5","14","19","15","22","6","4","21"
"256","November 8, 2013","Howard","Home","Washington College","69","24","51",".471","6","15",".400","15","24",".625","14","21","35","11","22","12","6","20"
"257","November 8, 2013","Washington & Lee","Away","Elon","64","22","54",".407","6","20",".300","14","21",".667","5","8","13","12","13","5","1","20"
"258","November 8, 2013","Elon","Home","Washington & Lee","114","41","57",".719","12","21",".571","20","23",".870","9","25","34","19","13","11","2","17"
"259","November 8, 2013","Weber State","Away","BYU","72","26","66",".394","6","18",".333","14","21",".667","9","26","35","9","10","3","7","17"
"260","November 8, 2013","BYU","Home","Weber State","81","32","72",".444","3","9",".333","14","20",".700","13","32","45","18","7","4","5","20"
"261","November 8, 2013","Western Michigan","Away","New Mexico State","70","22","53",".415","10","25",".400","16","20",".800","8","20","28","8","9","2","4","26"
"262","November 8, 2013","New Mexico State","Home","Western Michigan","64","19","55",".345","1","11",".091","25","40",".625","21","24","45","9","9","4","3","17"
"263","November 8, 2013","William & Mary","Away","Hampton","69","21","50",".420","6","20",".300","21","29",".724","6","22","28","14","14","9","0","19"
"264","November 8, 2013","Hampton","Home","William & Mary","77","26","51",".510","6","12",".500","19","28",".679","7","28","35","17","14","10","6","19"
"265","November 8, 2013","Wittenberg","Away","Western Carolina","55","20","51",".392","10","25",".400","5","13",".385","8","19","27","14","21","8","0","22"
"266","November 8, 2013","Western Carolina","Home","Wittenberg","77","27","55",".491","6","20",".300","17","26",".654","9","25","34","17","12","14","7","16"
"267","November 8, 2013","Wofford","Away","Georgia","52","19","50",".380","2","14",".143","12","18",".667","7","17","24","5","10","4","1","19"
"268","November 8, 2013","Georgia","Home","Wofford","72","25","57",".439","2","11",".182","20","29",".690","19","26","45","10","8","4","3","19"
"269","November 8, 2013","Youngstown State","Away","Kennesaw State","73","24","60",".400","6","18",".333","19","21",".905","11","26","37","10","11","8","4","21"
"270","November 8, 2013","Kennesaw State","Home","Youngstown State","57","18","52",".346","4","16",".250","17","25",".680","7","22","29","9","19","5","2","19"
"271","November 9, 2013","College of Charleston","Away","Louisville","48","20","48",".417","4","14",".286","4","10",".400","6","26","32","8","21","0","4","22"
"272","November 9, 2013","Louisville","Home","College of Charleston","70","26","68",".382","4","18",".222","14","23",".609","20","21","41","13","3","12","6","14"
"273","November 9, 2013","Morgan State","Away","Ohio State","50","20","65",".308","3","18",".167","7","15",".467","10","21","31","7","12","4","1","22"
"274","November 9, 2013","Ohio State","Home","Morgan State","89","31","65",".477","11","25",".440","16","22",".727","17","35","52","18","16","3","5","16"
"275","November 9, 2013","Bryant","Away","Gonzaga","76","27","60",".450","4","21",".190","18","23",".783","5","19","24","5","14","5","2","23"
"276","November 9, 2013","Gonzaga","Home","Bryant","100","36","67",".537","7","19",".368","21","28",".750","9","27","36","16","8","9","1","18"
"277","November 9, 2013","Emporia State","Away","Wichita State","50","19","52",".365","4","18",".222","8","11",".727","4","14","18","8","22","3","3","24"
"278","November 9, 2013","Wichita State","Home","Emporia State","93","30","58",".517","8","22",".364","25","33",".758","10","22","32","19","9","11","6","15"
"279","November 9, 2013","Alabama A&M","Away","New Mexico","52","15","56",".268","8","32",".250","14","20",".700","8","15","23","7","8","4","2","28"
"280","November 9, 2013","New Mexico","Home","Alabama A&M","88","31","53",".585","4","13",".308","22","39",".564","13","32","45","19","9","4","8","18"
"281","November 9, 2013","Abilene Christian","Away","Duquesne","75","22","63",".349","7","25",".280","24","32",".750","9","21","30","9","10","3","1","26"
"282","November 9, 2013","Duquesne","Home","Abilene Christian","94","30","58",".517","7","19",".368","27","37",".730","10","30","40","19","10","4","2","22"
"283","November 9, 2013","Air Force","Away","VMI","63","23","53",".434","5","22",".227","12","19",".632","6","25","31","9","17","8","0","20"
"284","November 9, 2013","VMI","Home","Air Force","71","25","61",".410","5","26",".192","16","26",".615","12","26","38","11","11","10","4","20"
"285","November 9, 2013","Ball State","Away","Indiana State","73","25","47",".532","7","15",".467","16","21",".762","6","12","18","14","14","3","3","17"
"286","November 9, 2013","Indiana State","Home","Ball State","82","28","50",".560","9","16",".563","17","20",".850","5","17","22","18","12","7","1","18"
"287","November 9, 2013","Cairn","Away","Delaware State","48","15","58",".259","2","21",".095","16","27",".593","10","16","26","3","15","5","1","19"
"288","November 9, 2013","Delaware State","Home","Cairn","107","41","70",".586","10","24",".417","15","25",".600","16","38","54","26","13","6","3","23"
"289","November 9, 2013","Cal State Fullerton","Away","Montana State","84","30","56",".536","9","18",".500","15","17",".882","8","24","32","12","8","9","0","21"
"290","November 9, 2013","Montana State","Home","Cal State Fullerton","55","16","47",".340","2","20",".100","21","27",".778","8","15","23","6","12","4","2","16"
"291","November 9, 2013","Citadel","Away","Army","69","23","56",".411","3","8",".375","20","20","1.000","10","20","30","12","16","8","0","22"
"292","November 9, 2013","Army","Home","Citadel","84","29","60",".483","9","31",".290","17","21",".810","10","20","30","17","12","8","5","18"
"293","November 9, 2013","Drake","Away","UIC","61","18","44",".409","5","16",".313","20","23",".870","7","24","31","7","18","8","3","23"
"294","November 9, 2013","UIC","Home","Drake","59","21","53",".396","7","23",".304","10","17",".588","7","15","22","14","15","6","0","23"
"295","November 9, 2013","Earlham (IN)","Away","Bowling Green State","49","19","63",".302","8","34",".235","3","5",".600","5","26","31","6","24","7","1","18"
"296","November 9, 2013","Bowling Green State","Home","Earlham (IN)","102","40","75",".533","7","18",".389","15","23",".652","7","30","37","29","9","22","9","12"
