GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/13/2010,North Dakota State,68,UCSB,60
11/13/2010,Ohio,88,Delaware,69
11/13/2010,Oklahoma State,86,Houston Baptist,73
11/13/2010,Oregon,68,Denver,56
11/13/2010,Penn,69,Davidson,64
11/13/2010,Pitt,95,North Florida,49
11/13/2010,Portland,75,UC-Davis,60
11/13/2010,Providence,87,Dartmouth,52
11/13/2010,Radford,57,Emory & Henry,54
11/13/2010,Robert Morris,55,St. Peter's,30
11/13/2010,Sam Houston State,72,Mary Hardin-Baylor,47
11/13/2010,Siena,76,Vermont,80
11/13/2010,USC,62,UC-Irvine,49
11/13/2010,Texas A&M-Corpus Christi,81,Northeastern State,74
11/13/2010,Utah State,77,Weber State,65
11/13/2010,Washington,118,McNeese State,64
11/13/2010,Washington State,86,Southern,47
11/13/2010,Winthrop,70,Queens (NC),61
11/13/2010,Wyoming,92,Kean,58
11/13/2010,Yale,75,Quinnipiac,84
11/14/2010,Air Force,66,Colorado-Colorado Springs,53
11/14/2010,Arizona,90,Idaho State,42
11/14/2010,Ball State,77,Eastern Illinois,46
11/14/2010,UC-Davis,62,Milwaukee,73
11/14/2010,Central Michigan,58,Montana State,65
11/14/2010,Cleveland State,69,Kent State,66
11/14/2010,Creighton,74,Northern Arizona,70
11/14/2010,Denver,54,North Dakota State,65
11/14/2010,DePaul,114,Chicago State,81
11/14/2010,Duke,97,Princeton,60
11/14/2010,Gonzaga,86,IUPUI,56
11/14/2010,Houston,88,Alcorn State,68
11/14/2010,Illinois State,92,SIU-Edwardsville,64
11/14/2010,Indiana,67,Wright State,44
11/14/2010,Indiana State,59,Eastern Kentucky,64
11/14/2010,Iona,72,Bryant,74
11/14/2010,Iowa,69,South Dakota State,79
11/14/2010,Iowa State,74,Alabama State,47
11/14/2010,Loyola (IL),79,Texas-Rio Grande Valley,57
11/14/2010,Loyola Marymount,100,La Sierra,62
11/14/2010,Marquette,72,Bucknell,61
11/14/2010,Maryland,89,Maine,59
11/14/2010,UMBC,77,VMI,94
11/14/2010,Morehead State,84,North Carolina A&T,61
11/14/2010,UNC Greensboro,73,Florida State,97
11/14/2010,Notre Dame,72,Liberty,51
11/14/2010,Oregon,72,UCSB,70
11/14/2010,Oregon State,71,Texas-Arlington,56
11/14/2010,Portland,89,Florida Atlantic,75
11/14/2010,Purdue,76,Howard,40
11/14/2010,Radford,83,Methodist,74
11/14/2010,Rice,86,Grambling,57
11/14/2010,Rider,80,Lafayette,73
11/14/2010,Sacramento State,78,Cal State Bakersfield,80
11/14/2010,Savannah State,52,Western Illinois,59
11/14/2010,Seattle,60,Cal Poly,76
11/14/2010,Seton Hall,92,Cornell,68
11/14/2010,St. Bonaventure,77,Little Rock,64
11/14/2010,Stony Brook,80,Mount Ida College,43
11/14/2010,Syracuse,86,Canisius,67
11/14/2010,Temple,82,Toledo,49
11/14/2010,UTEP,87,Mercer,74
11/14/2010,Wisconsin,99,Prairie View,55
11/15/2010,Alabama,79,Troy,60
11/15/2010,Albany (NY),44,American,57
11/15/2010,Army,87,Central Connecticut,101
11/15/2010,Bowling Green State,81,Ohio Dominican,55
11/15/2010,Cal State Fullerton,76,Montana State,80
11/15/2010,UC-Riverside,81,Pomona-Pitzer,48
11/15/2010,UCF,80,Jackson State,39
11/15/2010,Chattanooga,67,Austin Peay,70
11/15/2010,Cincinnati,69,Mount St. Mary's,59
11/15/2010,Clemson,78,Wofford,70
11/15/2010,Cleveland State,83,Urbana,49
11/15/2010,Columbia,108,Maryland-Eastern Shore,74
11/15/2010,East Carolina,76,Campbell,63
11/15/2010,Elon,99,TCNJ,68
11/15/2010,Florida A&M,88,Southeastern,61
11/15/2010,Florida International,69,Barry,54
11/15/2010,Fordham,69,Sacred Heart,51
11/15/2010,Georgetown,69,Tulane,53
11/15/2010,Georgia Southern,91,Carver Bible,83
11/15/2010,UIC,94,Roosevelt,54
11/15/2010,Kansas,79,Valparaiso,44
11/15/2010,Kennesaw State,80,Georgia Tech,63
11/15/2010,Lehigh,73,Wagner,57
11/15/2010,Lipscomb,103,Stillman,78
11/15/2010,Long Beach State,82,San Francisco State,65
11/15/2010,Louisiana,91,Louisiana College,66
11/15/2010,Marshall,93,Glenville State,48
11/15/2010,Memphis,72,Miami (FL),68
11/15/2010,Minnesota,76,Siena,69
11/15/2010,Murray State,50,ETSU,39
11/15/2010,Nebraska,83,Arkansas-Pine Bluff,40
11/15/2010,Nevada,53,Pacific,64
11/15/2010,New Mexico State,95,Western New Mexico,62
11/15/2010,NJIT,96,NYU-Poly,49
11/15/2010,Northwestern State,87,Houston Baptist,78
11/15/2010,Ohio,66,Oakland,78
11/15/2010,Oklahoma,71,North Carolina Central,63
11/15/2010,Old Dominion,79,High Point,57
11/15/2010,Providence,58,Yale,55
11/15/2010,Richmond,73,William & Mary,49
11/15/2010,Rutgers,68,Fairfield,53
11/15/2010,Saint Francis (PA),69,Colgate,66
11/15/2010,Saint Louis,72,Rockhurst,45
11/15/2010,Sam Houston State,90,Northwest Oklahoma State,68
11/15/2010,Samford,57,Tennessee Wesleyan,54
11/15/2010,South Florida,74,St. Francis (NY),71
11/15/2010,USC,86,Santa Clara,73
11/15/2010,Southern Utah,69,California Baptist,79
11/15/2010,Stanford,64,San Diego,48
11/15/2010,Stephen F. Austin,80,Longwood,54
11/15/2010,UT-Martin,79,Centenary (LA),56
