"","TeamName","OpponentName","Line","Date"
"4737","Mercer","East Tennessee State",-110,2019-01-12
"4738","East Tennessee State","Mercer",-110,2019-01-12
"4739","North Alabama","N.J.I.T.",-110,2019-01-12
"4740","N.J.I.T.","North Alabama",-110,2019-01-12
"4741","Nicholls State","Houston Baptist",-110,2019-01-12
"4742","Houston Baptist","Nicholls State",-110,2019-01-12
"4743","Radford","Presbyterian",-110,2019-01-12
"4744","Presbyterian","Radford",-110,2019-01-12
"4745","LIU Brooklyn","Robert Morris",-110,2019-01-12
"4746","Robert Morris","LIU Brooklyn",-110,2019-01-12
"4747","Louisiana Tech","Middle Tennessee",-110,2019-01-12
"4748","Middle Tennessee","Louisiana Tech",-110,2019-01-12
"4749","Southern Miss","UAB",-110,2019-01-12
"4750","UAB","Southern Miss",-110,2019-01-12
"4751","Georgia Southern","Louisiana-Lafayette",-110,2019-01-12
"4752","Louisiana-Lafayette","Georgia Southern",-110,2019-01-12
"4753","Arkansas State","Troy",-110,2019-01-12
"4754","Troy","Arkansas State",-110,2019-01-12
"4755","Jacksonville State","SIU-Edwardsville",-110,2019-01-12
"4756","SIU-Edwardsville","Jacksonville State",-110,2019-01-12
"4757","UNC Greensboro","Furman",-110,2019-01-12
"4758","Furman","UNC Greensboro",-110,2019-01-12
"4759","Gardner-Webb","USC Upstate",-110,2019-01-12
"4760","USC Upstate","Gardner-Webb",-110,2019-01-12
"4761","Lipscomb","Stetson",-110,2019-01-12
"4762","Stetson","Lipscomb",-110,2019-01-12
"4763","Southeastern Louisiana","Abilene Christian",-110,2019-01-12
"4764","Abilene Christian","Southeastern Louisiana",-110,2019-01-12
"4765","North Florida","Florida Gulf Coast",-110,2019-01-12
"4766","Florida Gulf Coast","North Florida",-110,2019-01-12
"4767","South Dakota State","Oral Roberts",-110,2019-01-12
"4768","Oral Roberts","South Dakota State",-110,2019-01-12
"4769","New Orleans","McNeese State",-110,2019-01-12
"4770","McNeese State","New Orleans",-110,2019-01-12
"4771","Southeast Missouri State","Murray State",-110,2019-01-12
"4772","Murray State","Southeast Missouri State",-110,2019-01-12
"4773","Massachusetts-Lowell","UMBC",-110,2019-01-12
"4774","UMBC","Massachusetts-Lowell",-110,2019-01-12
"4775","Stephen F. Austin","Northwestern State",-110,2019-01-12
"4776","Northwestern State","Stephen F. Austin",-110,2019-01-12
"4777","Mississippi Valley State","Alabama A&M",-110,2019-01-12
"4778","Alabama A&M","Mississippi Valley State",-110,2019-01-12
"4779","Florida","Tennessee",-110,2019-01-12
"4780","Tennessee","Florida",-110,2019-01-12
"4781","Arkansas","LSU",-110,2019-01-12
"4782","LSU","Arkansas",-110,2019-01-12
"4783","SMU","Tulsa",-110,2019-01-12
"4784","Tulsa","SMU",-110,2019-01-12
"4785","Stanford","Arizona State",-110,2019-01-12
"4786","Arizona State","Stanford",-110,2019-01-12
"4787","St. John's","DePaul",-110,2019-01-12
"4788","DePaul","St. John's",-110,2019-01-12
"4789","La Salle","Saint Louis",-110,2019-01-12
"4790","Saint Louis","La Salle",-110,2019-01-12
"4791","Wyoming","Utah State",-110,2019-01-12
"4792","Utah State","Wyoming",-110,2019-01-12
"4793","Syracuse","Georgia Tech",-110,2019-01-12
"4794","Georgia Tech","Syracuse",-110,2019-01-12
"4795","Belmont","Eastern Kentucky",-110,2019-01-12
"4796","Eastern Kentucky","Belmont",-110,2019-01-12
"4797","Grambling State","Southern University",-110,2019-01-12
"4798","Southern University","Grambling State",-110,2019-01-12
"4799","Prairie View A&M","Texas Southern",-110,2019-01-12
"4800","Texas Southern","Prairie View A&M",-110,2019-01-12
"4801","New Mexico State","Cal State Bakersfield",-110,2019-01-12
"4802","Cal State Bakersfield","New Mexico State",-110,2019-01-12
"4803","Jackson State","Alcorn State",-110,2019-01-12
"4804","Alcorn State","Jackson State",-110,2019-01-12
"4805","Sam Houston State","Incarnate Word",-110,2019-01-12
"4806","Incarnate Word","Sam Houston State",-110,2019-01-12
"4807","Marshall","Western Kentucky",-6,2019-01-12
"4808","Western Kentucky","Marshall",NA,2019-01-12
"4809","Florida International","Old Dominion",-13.5,2019-01-12
"4810","Old Dominion","Florida International",6,2019-01-12
"4811","Elon","Hofstra",-5,2019-01-12
"4812","Hofstra","Elon",13.5,2019-01-12
"4813","Dartmouth","Harvard",4.5,2019-01-12
"4814","Harvard","Dartmouth",5,2019-01-12
"4815","Long Beach State","UC Davis",17.5,2019-01-12
"4816","UC Davis","Long Beach State",-4.5,2019-01-12
"4817","Stony Brook","New Hampshire",11,2019-01-12
"4818","New Hampshire","Stony Brook",-17.5,2019-01-12
"4819","Vermont","Hartford",4,2019-01-12
"4820","Hartford","Vermont",-11,2019-01-12
"4821","Bradley","Missouri State",11.5,2019-01-12
"4822","Missouri State","Bradley",-4,2019-01-12
"4823","Houston","Wichita State",-3,2019-01-12
"4824","Wichita State","Houston",-11.5,2019-01-12
"4825","Fresno State","Nevada",10,2019-01-12
"4826","Nevada","Fresno State",3,2019-01-12
"4827","Utah","Washington State",11,2019-01-12
"4828","Washington State","Utah",-10,2019-01-12
"4829","Cincinnati","Connecticut",-6,2019-01-12
"4830","Connecticut","Cincinnati",-11,2019-01-12
"4831","Texas Rio Grande Valley","Grand Canyon",13,2019-01-12
"4832","Grand Canyon","Texas Rio Grande Valley",6,2019-01-12
"4833","Kentucky","Vanderbilt",1.5,2019-01-12
"4834","Vanderbilt","Kentucky",-13,2019-01-12
"4835","Tennessee Tech","Eastern Illinois",-2,2019-01-12
"4836","Eastern Illinois","Tennessee Tech",-1.5,2019-01-12
"4837","Tennessee State","Morehead State",3,2019-01-12
"4838","Morehead State","Tennessee State",2,2019-01-12
"4839","Arkansas-Pine Bluff","Alabama State",11,2019-01-12
"4840","Alabama State","Arkansas-Pine Bluff",-3,2019-01-12
"4841","BYU","Santa Clara",5,2019-01-12
"4842","Santa Clara","BYU",-11,2019-01-12
"4843","UTEP","Rice",-2.5,2019-01-12
"4844","Rice","UTEP",-5,2019-01-12
"4845","Cal State Fullerton","UC Irvine",4.5,2019-01-12
"4846","UC Irvine","Cal State Fullerton",2.5,2019-01-12
"4847","Utah Valley","Seattle",-8.5,2019-01-12
"4848","Seattle","Utah Valley",-4.5,2019-01-12
"4849","San Francisco","Gonzaga",-5,2019-01-12
"4850","Gonzaga","San Francisco",8.5,2019-01-12
"4851","Loyola Marymount","Saint Mary's",-4,2019-01-12
"4852","Saint Mary's","Loyola Marymount",5,2019-01-12
"4853","Portland","Pacific",NA,2019-01-12
"4854","Pacific","Portland",4,2019-01-12
"4855","Cal Poly","Cal State Northridge",-110,2019-01-12
"4856","Cal State Northridge","Cal Poly",-110,2019-01-12
"4857","UC Santa Barbara","UC Riverside",-110,2019-01-12
"4858","UC Riverside","UC Santa Barbara",-110,2019-01-12
"4859","Colorado","Washington",-110,2019-01-12
"4860","Washington","Colorado",-110,2019-01-12
"4861","Sacramento State","Idaho State",-110,2019-01-12
"4862","Idaho State","Sacramento State",-110,2019-01-12
"4863","Portland State","Weber State",-110,2019-01-12
"4864","Weber State","Portland State",-110,2019-01-12
"4865","California","Arizona",-110,2019-01-12
"4866","Arizona","California",-110,2019-01-12
"4867","Creighton","Villanova",-1,2019-01-13
"4868","Villanova","Creighton",1,2019-01-13
"4869","Xavier","Butler",-110,2019-01-13
"4870","Butler","Xavier",NA,2019-01-13
"4871","St. Peter's","Marist",-110,2019-01-13
"4872","Marist","St. Peter's",-110,2019-01-13
"4873","South Carolina","Missouri",-110,2019-01-13
"4874","Missouri","South Carolina",-110,2019-01-13
"4875","Niagara","Rider",-110,2019-01-13
"4876","Rider","Niagara",-110,2019-01-13
"4877","Quinnipiac","Fairfield",-110,2019-01-13
"4878","Fairfield","Quinnipiac",-110,2019-01-13
"4879","Canisius","Iona",-110,2019-01-13
"4880","Iona","Canisius",-110,2019-01-13
"4881","South Dakota","Purdue Fort Wayne",-110,2019-01-13
"4882","Purdue Fort Wayne","South Dakota",-110,2019-01-13
"4883","Dayton","Massachusetts",-110,2019-01-13
"4884","Massachusetts","Dayton",-110,2019-01-13
"4885","UCF","East Carolina",-110,2019-01-13
"4886","East Carolina","UCF",-110,2019-01-13
"4887","Northern Iowa","Drake",-7.5,2019-01-13
"4888","Drake","Northern Iowa",NA,2019-01-13
"4889","Penn State","Michigan State",5,2019-01-13
"4890","Michigan State","Penn State",7.5,2019-01-13
"4891","Rhode Island","George Mason",-10.5,2019-01-13
"4892","George Mason","Rhode Island",-5,2019-01-13
"4893","Tulane","Memphis",12.5,2019-01-13
"4894","Memphis","Tulane",10.5,2019-01-13
"4895","Michigan","Northwestern",5,2019-01-13
"4896","Northwestern","Michigan",-12.5,2019-01-13
"4897","Oregon","USC",3,2019-01-13
"4898","USC","Oregon",-5,2019-01-13
"4899","Oregon State","UCLA",1,2019-01-13
"4900","UCLA","Oregon State",-3,2019-01-13
"4901","Indiana","Nebraska",-2.5,2019-01-14
"4902","Nebraska","Indiana",2.5,2019-01-14
"4903","Duke","Syracuse",-17,2019-01-14
"4904","Syracuse","Duke",17,2019-01-14
"4905","Pittsburgh","Florida State",4.5,2019-01-14
"4906","Florida State","Pittsburgh",-4.5,2019-01-14
"4907","Siena","Monmouth",-5,2019-01-14
"4908","Monmouth","Siena",5,2019-01-14
"4909","Bucknell","Holy Cross",-4,2019-01-14
"4910","Holy Cross","Bucknell",4,2019-01-14
"4911","Maryland-Eastern Shore","North Carolina A&T",1,2019-01-14
"4912","North Carolina A&T","Maryland-Eastern Shore",-1,2019-01-14
"4913","Coppin State","South Carolina State",-5,2019-01-14
"4914","South Carolina State","Coppin State",5,2019-01-14
"4915","Delaware State","North Carolina Central",10,2019-01-14
"4916","North Carolina Central","Delaware State",-10,2019-01-14
"4917","Norfolk State","Bethune-Cookman",-4.5,2019-01-14
"4918","Bethune-Cookman","Norfolk State",4.5,2019-01-14
"4919","Maryland","Wisconsin",-3,2019-01-14
"4920","Wisconsin","Maryland",3,2019-01-14
"4921","Arkansas-Pine Bluff","Alabama A&M",-10,2019-01-14
"4922","Alabama A&M","Arkansas-Pine Bluff",10,2019-01-14
"4923","Mississippi Valley State","Alabama State",3.5,2019-01-14
"4924","Alabama State","Mississippi Valley State",-3.5,2019-01-14
"4925","Grambling State","Alcorn State",-10.5,2019-01-14
"4926","Alcorn State","Grambling State",10.5,2019-01-14
"4927","Jackson State","Southern University",-4.5,2019-01-14
"4928","Southern University","Jackson State",4.5,2019-01-14
"4929","Kansas","Texas",-8,2019-01-14
"4930","Texas","Kansas",8,2019-01-14
"4931","Oklahoma State","Baylor",-3,2019-01-14
"4932","Baylor","Oklahoma State",3,2019-01-14
"4933","Montana State","Northern Colorado",-110,2019-01-14
"4934","Northern Colorado","Montana State",NA,2019-01-14
"4935","Providence","Seton Hall",-110,2019-01-15
"4936","Seton Hall","Providence",NA,2019-01-15
"4937","TCU","West Virginia",-110,2019-01-15
"4938","West Virginia","TCU",-110,2019-01-15
"4939","Purdue","Rutgers",-110,2019-01-15
"4940","Rutgers","Purdue",-110,2019-01-15
"4941","Illinois State","Southern Illinois",-110,2019-01-15
"4942","Southern Illinois","Illinois State",-110,2019-01-15
"4943","Mississippi State","Florida",-110,2019-01-15
"4944","Florida","Mississippi State",-110,2019-01-15
"4945","Georgia","Kentucky",-110,2019-01-15
"4946","Kentucky","Georgia",-110,2019-01-15
"4947","Tennessee","Arkansas",-110,2019-01-15
"4948","Arkansas","Tennessee",-110,2019-01-15
"4949","Cincinnati","South Florida",-110,2019-01-15
"4950","South Florida","Cincinnati",-110,2019-01-15
"4951","Fordham","Saint Louis",-110,2019-01-15
"4952","Saint Louis","Fordham",-110,2019-01-15
"4953","Toledo","Miami (OH)",-110,2019-01-15
"4954","Miami (OH)","Toledo",-110,2019-01-15
"4955","Ohio","Kent State",-110,2019-01-15
"4956","Kent State","Ohio",-110,2019-01-15
"4957","Western Michigan","Buffalo",-110,2019-01-15
"4958","Buffalo","Western Michigan",-110,2019-01-15
"4959","Akron","Eastern Michigan",-110,2019-01-15
"4960","Eastern Michigan","Akron",-110,2019-01-15
"4961","Bowling Green","Ball State",-110,2019-01-15
"4962","Ball State","Bowling Green",-110,2019-01-15
"4963","Howard","Morgan State",-110,2019-01-15
"4964","Morgan State","Howard",-110,2019-01-15
"4965","Northern Illinois","Central Michigan",-110,2019-01-15
"4966","Central Michigan","Northern Illinois",-110,2019-01-15
"4967","Loyola (IL)","Valparaiso",-110,2019-01-15
"4968","Valparaiso","Loyola (IL)",-110,2019-01-15
"4969","Virginia","Virginia Tech",-110,2019-01-15
"4970","Virginia Tech","Virginia",-110,2019-01-15
"4971","Wake Forest","North Carolina State",-110,2019-01-15
"4972","North Carolina State","Wake Forest",-110,2019-01-15
"4973","Georgetown","Marquette",-110,2019-01-15
"4974","Marquette","Georgetown",-110,2019-01-15
"4975","Ole Miss","LSU",-110,2019-01-15
"4976","LSU","Ole Miss",-110,2019-01-15
"4977","Saint Joseph's (PA)","Davidson",-110,2019-01-15
"4978","Davidson","Saint Joseph's (PA)",-110,2019-01-15
"4979","North Carolina","Notre Dame",-110,2019-01-15
"4980","Notre Dame","North Carolina",-110,2019-01-15
"4981","Boise State","Nevada",-110,2019-01-15
"4982","Nevada","Boise State",-110,2019-01-15
"4983","San Diego State","New Mexico",-110,2019-01-15
"4984","New Mexico","San Diego State",-110,2019-01-15
"4985","Rhode Island","St. Bonaventure",-5,2019-01-16
"4986","St. Bonaventure","Rhode Island",5,2019-01-16
"4987","St. John's","Creighton",-3,2019-01-16
"4988","Creighton","St. John's",3,2019-01-16
"4989","Massachusetts","George Mason",-110,2019-01-16
"4990","George Mason","Massachusetts",NA,2019-01-16
"4991","Texas A&M","Auburn",-110,2019-01-16
"4992","Auburn","Texas A&M",-110,2019-01-16
"4993","Vanderbilt","South Carolina",-110,2019-01-16
"4994","South Carolina","Vanderbilt",-110,2019-01-16
"4995","East Carolina","Temple",-110,2019-01-16
"4996","Temple","East Carolina",-110,2019-01-16
"4997","Richmond","Duquesne",-110,2019-01-16
"4998","Duquesne","Richmond",-110,2019-01-16
"4999","Oklahoma","Kansas State",-110,2019-01-16
"5000","Kansas State","Oklahoma",-110,2019-01-16
"5001","Louisville","Boston College",-110,2019-01-16
"5002","Boston College","Louisville",-110,2019-01-16
"5003","Tulsa","Connecticut",-110,2019-01-16
"5004","Connecticut","Tulsa",-110,2019-01-16
"5005","Penn State","Iowa",-110,2019-01-16
"5006","Iowa","Penn State",-110,2019-01-16
"5007","Presbyterian","Hampton",-120,2019-01-16
"5008","Hampton","Presbyterian",-120,2019-01-16
"5009","Winthrop","Longwood",-120,2019-01-16
"5010","Longwood","Winthrop",-120,2019-01-16
"5011","High Point","USC Upstate",-120,2019-01-16
"5012","USC Upstate","High Point",-120,2019-01-16
"5013","Kennesaw State","Liberty",-120,2019-01-16
"5014","Liberty","Kennesaw State",-120,2019-01-16
"5015","Stetson","North Florida",-120,2019-01-16
"5016","North Florida","Stetson",-120,2019-01-16
"5017","New Hampshire","Vermont",-120,2019-01-16
"5018","Vermont","New Hampshire",-120,2019-01-16
"5019","N.J.I.T.","Lipscomb",-120,2019-01-16
"5020","Lipscomb","N.J.I.T.",-120,2019-01-16
"5021","Army","Colgate",-120,2019-01-16
"5022","Colgate","Army",-120,2019-01-16
"5023","Loyola (MD)","Boston University",-120,2019-01-16
"5024","Boston University","Loyola (MD)",-120,2019-01-16
"5025","Lafayette","Navy",-120,2019-01-16
"5026","Navy","Lafayette",-120,2019-01-16
"5027","UNC Asheville","Campbell",-120,2019-01-16
"5028","Campbell","UNC Asheville",-120,2019-01-16
"5029","Jacksonville","North Alabama",-120,2019-01-16
"5030","North Alabama","Jacksonville",-120,2019-01-16
"5031","UMBC","Binghamton",-120,2019-01-16
"5032","Binghamton","UMBC",-120,2019-01-16
"5033","Massachusetts-Lowell","Albany",-120,2019-01-16
"5034","Albany","Massachusetts-Lowell",-120,2019-01-16
"5035","Lehigh","American University",-120,2019-01-16
"5036","American University","Lehigh",-120,2019-01-16
"5037","Maine","Hartford",-120,2019-01-16
"5038","Hartford","Maine",-120,2019-01-16
"5039","McNeese State","Nicholls State",-120,2019-01-16
"5040","Nicholls State","McNeese State",-120,2019-01-16
"5041","Sam Houston State","Texas A&M-CC",-120,2019-01-16
"5042","Texas A&M-CC","Sam Houston State",-120,2019-01-16
"5043","La Salle","George Washington",-110,2019-01-16
"5044","George Washington","La Salle",-110,2019-01-16
"5045","Virginia Commonwealth","Dayton",-110,2019-01-16
"5046","Dayton","Virginia Commonwealth",-110,2019-01-16
"5047","Bradley","Drake",-110,2019-01-16
"5048","Drake","Bradley",-110,2019-01-16
"5049","Missouri State","Evansville",-110,2019-01-16
"5050","Evansville","Missouri State",-110,2019-01-16
"5051","Northern Iowa","Indiana State",-110,2019-01-16
"5052","Indiana State","Northern Iowa",-110,2019-01-16
"5053","North Dakota","South Dakota State",-110,2019-01-16
"5054","South Dakota State","North Dakota",-110,2019-01-16
"5055","Abilene Christian","Houston Baptist",-120,2019-01-16
"5056","Houston Baptist","Abilene Christian",-120,2019-01-16
"5057","Southeastern Louisiana","Lamar",-120,2019-01-16
"5058","Lamar","Southeastern Louisiana",-120,2019-01-16
"5059","New Orleans","Stephen F. Austin",-120,2019-01-16
"5060","Stephen F. Austin","New Orleans",-120,2019-01-16
"5061","Incarnate Word","Central Arkansas",-120,2019-01-16
"5062","Central Arkansas","Incarnate Word",-120,2019-01-16
"5063","DePaul","Butler",-110,2019-01-16
"5064","Butler","DePaul",-110,2019-01-16
"5065","SMU","Houston",-110,2019-01-16
"5066","Houston","SMU",-110,2019-01-16
"5067","Missouri","Alabama",-110,2019-01-16
"5068","Alabama","Missouri",-110,2019-01-16
"5069","Texas Tech","Iowa State",-110,2019-01-16
"5070","Iowa State","Texas Tech",-110,2019-01-16
"5071","Clemson","Georgia Tech",-110,2019-01-16
"5072","Georgia Tech","Clemson",-110,2019-01-16
"5073","Illinois","Minnesota",-110,2019-01-16
"5074","Minnesota","Illinois",-110,2019-01-16
"5075","Denver","North Dakota State",-110,2019-01-16
"5076","North Dakota State","Denver",-110,2019-01-16
"5077","Wichita State","UCF",-110,2019-01-16
"5078","UCF","Wichita State",-110,2019-01-16
"5079","San Jose State","Utah State",-110,2019-01-16
"5080","Utah State","San Jose State",-110,2019-01-16
"5081","UC Irvine","Long Beach State",-110,2019-01-16
"5082","Long Beach State","UC Irvine",-110,2019-01-16
"5083","Air Force","UNLV",-110,2019-01-16
"5084","UNLV","Air Force",-110,2019-01-16
"5085","Marshall","Florida Atlantic",-10,2019-01-17
"5086","Florida Atlantic","Marshall",10,2019-01-17
"5087","Northeastern","Charleston",-4,2019-01-17
"5088","Charleston","Northeastern",4,2019-01-17
"5089","Troy","Georgia Southern",3,2019-01-17
"5090","Georgia Southern","Troy",-3,2019-01-17
"5091","Hofstra","NC-Wilmington",-12.5,2019-01-17
"5092","NC-Wilmington","Hofstra",12.5,2019-01-17
"5093","Delaware","James Madison",-5,2019-01-17
"5094","James Madison","Delaware",5,2019-01-17
"5095","Drexel","Towson",-5.5,2019-01-17
"5096","Towson","Drexel",5.5,2019-01-17
"5097","Youngstown State","Wright State",5,2019-01-17
"5098","Wright State","Youngstown State",-5,2019-01-17
"5099","Charlotte","Southern Miss",3.5,2019-01-17
"5100","Southern Miss","Charlotte",-3.5,2019-01-17
"5101","Old Dominion","Louisiana Tech",-6,2019-01-17
"5102","Louisiana Tech","Old Dominion",6,2019-01-17
"5103","Cleveland State","Northern Kentucky",9,2019-01-17
"5104","Northern Kentucky","Cleveland State",-9,2019-01-17
"5105","Tennessee Tech","Tennessee State",-2.5,2019-01-17
"5106","Tennessee State","Tennessee Tech",2.5,2019-01-17
"5107","East Tennessee State","Virginia Military",-23.5,2019-01-17
"5108","Virginia Military","East Tennessee State",23.5,2019-01-17
"5109","Quinnipiac","Canisius",-4,2019-01-17
"5110","Canisius","Quinnipiac",4,2019-01-17
"5111","Monmouth","Fairfield",-2,2019-01-17
"5112","Fairfield","Monmouth",2,2019-01-17
"5113","St. Peter's","Manhattan",-6,2019-01-17
"5114","Manhattan","St. Peter's",6,2019-01-17
"5115","Siena","Niagara",-5,2019-01-17
"5116","Niagara","Siena",5,2019-01-17
"5117","Middle Tennessee","UTSA",4,2019-01-17
"5118","UTSA","Middle Tennessee",-4,2019-01-17
"5119","Eastern Kentucky","Tennessee-Martin",-6,2019-01-17
"5120","Tennessee-Martin","Eastern Kentucky",6,2019-01-17
"5121","Western Carolina","UNC Greensboro",8.5,2019-01-17
"5122","UNC Greensboro","Western Carolina",-8.5,2019-01-17
"5123","Samford","Citadel",-8.5,2019-01-17
"5124","Citadel","Samford",8.5,2019-01-17
"5125","Morehead State","Southeast Missouri State",-6.5,2019-01-17
"5126","Southeast Missouri State","Morehead State",6.5,2019-01-17
"5127","Texas-Arlington","Arkansas State",-4.5,2019-01-17
"5128","Arkansas State","Texas-Arlington",4.5,2019-01-17
"5129","Texas State","Arkansas-Little Rock",-10,2019-01-17
"5130","Arkansas-Little Rock","Texas State",10,2019-01-17
"5131","Western Kentucky","Florida International",-13,2019-01-17
"5132","Florida International","Western Kentucky",13,2019-01-17
"5133","Green Bay","IUPUI",-2.5,2019-01-17
"5134","IUPUI","Green Bay",2.5,2019-01-17
"5135","Milwaukee","Illinois-Chicago",3.5,2019-01-17
"5136","Illinois-Chicago","Milwaukee",-3.5,2019-01-17
"5137","Nebraska","Michigan State",1,2019-01-17
"5138","Michigan State","Nebraska",-1,2019-01-17
"5139","UAB","UTEP",-8,2019-01-17
"5140","UTEP","UAB",8,2019-01-17
"5141","South Alabama","Georgia State",6.5,2019-01-17
"5142","Georgia State","South Alabama",-6.5,2019-01-17
"5143","Chattanooga","Mercer",1.5,2019-01-17
"5144","Mercer","Chattanooga",-1.5,2019-01-17
"5145","Western Illinois","Nebraska-Omaha",3,2019-01-17
"5146","Nebraska-Omaha","Western Illinois",-3,2019-01-17
"5147","Oral Roberts","South Dakota",1.5,2019-01-17
"5148","South Dakota","Oral Roberts",-1.5,2019-01-17
"5149","Eastern Illinois","Murray State",12.5,2019-01-17
"5150","Murray State","Eastern Illinois",-12.5,2019-01-17
"5151","Jacksonville State","Belmont",-1,2019-01-17
"5152","Belmont","Jacksonville State",1,2019-01-17
"5153","Northern Arizona","Sacramento State",-2.5,2019-01-17
"5154","Sacramento State","Northern Arizona",2.5,2019-01-17
"5155","Southern Utah","Portland State",-1.5,2019-01-17
"5156","Portland State","Southern Utah",1.5,2019-01-17
"5157","SIU-Edwardsville","Austin Peay",10,2019-01-17
"5158","Austin Peay","SIU-Edwardsville",-10,2019-01-17
"5159","Gonzaga","Loyola Marymount",-23.5,2019-01-17
"5160","Loyola Marymount","Gonzaga",23.5,2019-01-17
"5161","Washington","Stanford",-10,2019-01-17
"5162","Stanford","Washington",10,2019-01-17
"5163","Arizona","Oregon",-4.5,2019-01-17
"5164","Oregon","Arizona",4.5,2019-01-17
"5165","Pacific","San Francisco",6.5,2019-01-17
"5166","San Francisco","Pacific",-6.5,2019-01-17
"5167","Weber State","Idaho State",-8,2019-01-17
"5168","Idaho State","Weber State",8,2019-01-17
"5169","Radford","Gardner-Webb",-5.5,2019-01-17
"5170","Gardner-Webb","Radford",5.5,2019-01-17
"5171","Grand Canyon","Chicago State",-29.5,2019-01-17
"5172","Chicago State","Grand Canyon",29.5,2019-01-17
"5173","Utah Valley","Texas Rio Grande Valley",-11,2019-01-17
"5174","Texas Rio Grande Valley","Utah Valley",11,2019-01-17
"5175","Cal State Northridge","Hawaii",-110,2019-01-17
"5176","Hawaii","Cal State Northridge",NA,2019-01-17
"5177","Washington State","California",-110,2019-01-17
"5178","California","Washington State",-110,2019-01-17
"5179","Arizona State","Oregon State",-110,2019-01-17
"5180","Oregon State","Arizona State",-110,2019-01-17
"5181","Portland","San Diego",-110,2019-01-17
"5182","San Diego","Portland",-110,2019-01-17
"5183","Cal State Fullerton","UC Riverside",-110,2019-01-17
"5184","UC Riverside","Cal State Fullerton",-110,2019-01-17
"5185","UC Davis","UC Santa Barbara",-110,2019-01-17
"5186","UC Santa Barbara","UC Davis",-110,2019-01-17
"5187","Seattle","New Mexico State",-120,2019-01-17
"5188","New Mexico State","Seattle",-120,2019-01-17
"5189","Cal State Bakersfield","UMKC",-120,2019-01-17
"5190","UMKC","Cal State Bakersfield",-120,2019-01-17
"5191","Saint Mary's","Santa Clara",-110,2019-01-17
"5192","Santa Clara","Saint Mary's",-110,2019-01-17
"5193","Pepperdine","BYU",-110,2019-01-17
"5194","BYU","Pepperdine",-110,2019-01-17
"5195","Ohio State","Maryland",-2,2019-01-18
"5196","Maryland","Ohio State",2,2019-01-18
"5197","Saint Louis","Saint Joseph's (PA)",-8,2019-01-18
"5198","Saint Joseph's (PA)","Saint Louis",8,2019-01-18
"5199","Rutgers","Northwestern",1.5,2019-01-18
"5200","Northwestern","Rutgers",-1.5,2019-01-18
"5201","Buffalo","Eastern Michigan",-16,2019-01-18
"5202","Eastern Michigan","Buffalo",16,2019-01-18
"5203","Toledo","Ohio",-10.5,2019-01-18
"5204","Ohio","Toledo",10.5,2019-01-18
"5205","Iona","Marist",-6,2019-01-18
"5206","Marist","Iona",6,2019-01-18
"5207","Villanova","Xavier",-10.5,2019-01-18
"5208","Xavier","Villanova",10.5,2019-01-18
"5209","Miami (FL)","North Carolina",6,2019-01-19
"5210","North Carolina","Miami (FL)",-6,2019-01-19
"5211","Wisconsin","Michigan",2,2019-01-19
"5212","Michigan","Wisconsin",-2,2019-01-19
"5213","Georgia","Florida",4.5,2019-01-19
"5214","Florida","Georgia",-4.5,2019-01-19
"5215","UCF","Tulsa",-11,2019-01-19
"5216","Tulsa","UCF",11,2019-01-19
"5217","Northeastern","NC-Wilmington",-13,2019-01-19
"5218","NC-Wilmington","Northeastern",13,2019-01-19
"5219","Lehigh","Bucknell",-2.5,2019-01-19
"5220","Bucknell","Lehigh",2.5,2019-01-19
"5221","Holy Cross","Loyola (MD)",-11,2019-01-19
"5222","Loyola (MD)","Holy Cross",11,2019-01-19
"5223","Davidson","Richmond",-10.5,2019-01-19
"5224","Richmond","Davidson",10.5,2019-01-19
"5225","Ole Miss","Arkansas",-7,2019-01-19
"5226","Arkansas","Ole Miss",7,2019-01-19
"5227","Green Bay","Illinois-Chicago",-2.5,2019-01-19
"5228","Illinois-Chicago","Green Bay",2.5,2019-01-19
"5229","Youngstown State","Northern Kentucky",8.5,2019-01-19
"5230","Northern Kentucky","Youngstown State",-8.5,2019-01-19
"5231","Cleveland State","Wright State",6.5,2019-01-19
"5232","Wright State","Cleveland State",-6.5,2019-01-19
"5233","Virginia Military","Western Carolina",-1.5,2019-01-19
"5234","Western Carolina","Virginia Military",1.5,2019-01-19
"5235","Fairfield","Canisius",-3,2019-01-19
"5236","Canisius","Fairfield",3,2019-01-19
"5237","UMBC","Albany",-6,2019-01-19
"5238","Albany","UMBC",6,2019-01-19
"5239","Maine","Stony Brook",9.5,2019-01-19
"5240","Stony Brook","Maine",-9.5,2019-01-19
"5241","Boston University","Colgate",1,2019-01-19
"5242","Colgate","Boston University",-1,2019-01-19
"5243","Vermont","Binghamton",-22.5,2019-01-19
"5244","Binghamton","Vermont",22.5,2019-01-19
"5245","Cornell","Columbia",-3.5,2019-01-19
"5246","Columbia","Cornell",3.5,2019-01-19
"5247","Coastal Carolina","Appalachian State",-5.5,2019-01-19
"5248","Appalachian State","Coastal Carolina",5.5,2019-01-19
"5249","Detroit Mercy","Oakland",-3.5,2019-01-19
"5250","Oakland","Detroit Mercy",3.5,2019-01-19
"5251","West Virginia","Kansas",6,2019-01-19
"5252","Kansas","West Virginia",-6,2019-01-19
"5253","Tennessee","Alabama",-13.5,2019-01-19
